ATM;FECHA;UptTotal;UptHardware;DwtAdmin;UptComunicacion;UptPromCass;UptBillete;UptOpenST;TX;Ubicacion;Direccion;Localidad;Cod Postal;Provincia;Pais;Direccion Completa;Coordenadas MAPS (PUNTO);Coordenadas BING (COMA);Latitud;Longitud;Responsable;Detalle;Q en SITE
3402;01-03-18;88,25;98,68;0,12;94,11;36,43;97,24;99,76;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-04-18;53,55;51,78;12,44;95,29;14,40;53,68;80,44;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-05-18;61,71;89,55;0,10;71,32;27,45;93,23;96,38;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-06-18;97,08;99,57;0,26;99,31;28,73;97,98;99,45;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-07-18;96,07;98,80;0,20;99,67;26,36;97,01;99,30;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-08-18;71,88;76,66;0,27;99,82;26,27;97,41;95,25;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-09-18;48,83;54,52;0,25;99,08;21,01;80,40;84,76;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-10-18;89,49;92,16;0,24;99,81;26,30;97,88;97,13;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-11-18;74,17;94,13;0,27;97,03;25,40;96,19;99,72;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-12-18;68,20;94,06;0,24;98,98;29,10;95,32;99,75;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-01-19;71,32;99,62;0,26;99,04;28,33;90,94;99,13;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-02-19;90,33;95,53;0,20;99,84;30,81;100,00;99,78;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-03-19;71,17;86,57;0,14;87,52;38,50;96,49;93,98;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-04-19;80,11;98,09;0,13;98,66;37,42;100,00;99,87;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-05-19;60,99;86,62;3,05;93,43;31,25;94,04;95,55;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-06-19;67,78;84,88;0,18;98,56;35,92;96,54;84,48;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-07-19;90,54;99,95;0,23;99,96;40,23;94,88;99,72;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-08-19;90,61;93,35;0,22;99,99;42,03;96,27;99,77;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
3402;01-09-19;91,62;95,25;0,26;99,94;45,02;97,19;99,71;;Dist. Villa Hortensia;Warnes 1917;Rosario;S2000;Santa fe;Argentina;Warnes 1917, Rosario, S2000, Santa fe, Argentina;-32.89493, -60.69392;-32,89493, -60,69392;-32,89493;-60,69392;BRINKS;BR;1
